Latitude,Longitude
-5.48983,-75.20307	
3.34657,-70.99826	
4.40346,-55.09785	
-5.22086,-75.85866	
2.90542,-70.66548	
-12.75459,-57.46710	
-17.84234,-67.68533	
-11.80163,-72.46624	
-20.65333,-54.46650	
-20.71955,-54.56779	
-4.60108,-74.37134	
-25.26113,-45.49187	
-4.32406,-74.03383	
4.12496,-70.65874	
10.82560,-48.75941	
-23.13824,-142.02621	
8.09408,-73.02067	
-12.83998,-56.70835	
-14.28473,-56.15225	
11.17801,-120.09568	
3.94145,-72.01375	
-19.67644,-138.73416	
-5.58196,-75.00535	
-10.08586,-75.57515	
-2.68434,-48.02447	
-5.28036,-41.74474	
-5.51383,-74.91092	
3.97925,-71.05421	
-19.83060,-135.65724	
-22.40186,-46.80344	
-22.43377,-46.72781	
-22.44184,-46.71900	
-4.47224,-74.14231	
-4.47370,-73.98195	
-4.47846,-73.95481	
-4.48075,-73.93802	
-4.49007,-73.94368	
-4.50413,-73.89536	
-5.39500,-73.21632	
3.84737,-70.15884	
-4.48185,-73.89878	
-17.53853,-138.95995	
-17.67112,-137.75974	
-17.68576,-137.36617	
-23.52884,-45.79814	
-15.96672,-49.37053	
-15.99380,-49.37760	
-17.92796,-67.63844	
-17.98715,-67.41901	
-23.27159,-51.10196	
-26.15331,-137.69441	
-27.26245,-136.17407	
-27.27002,-138.42751	
-27.92804,-134.20329	
-23.20729,-45.69705	
-25.19884,-45.33061	
-12.77155,-56.89884	
-14.63462,-53.90519	
-23.22648,-46.05344	
-20.83149,-53.07293	
-25.23726,-45.44872	
-8.88572,-60.40288	
-19.77185,-48.17332	
-4.98479,-75.89388	
-4.45204,-74.11221	
-4.51322,-74.66083	
-4.57659,-74.73540	
-5.04469,-75.69318	
-18.43755,-141.12764	
-18.43986,-141.20984	
-23.17329,-51.35152	
-24.13852,-50.17792	
-24.98272,-47.52322	
-3.77195,-75.47411	
-3.85816,-75.13250	
-11.15951,-52.48639	
-11.16005,-52.86313	
-12.13758,-74.30637	
3.04351,-71.25431	
5.41584,-75.93346	
5.71004,-76.81219	
5.71281,-76.84013	
-12.87295,-57.23708	
-2.43883,-50.18348	
-23.26084,-46.00285	
-4.73004,-76.17550	
-8.80634,-56.09272	
-26.97989,-134.60764	
-12.71826,-57.04112	
-18.40628,-136.34363	
3.81085,-71.31422	
-12.70211,-57.06026	
-12.72774,-57.07812	
-12.72894,-57.03422	
-7.49453,-74.23307	
6.28112,-74.00985	
3.82395,-71.30225	
6.23012,-73.93507	
6.30294,-73.96754	
-18.26734,-143.56766	
-4.35372,-74.10014	
-4.39516,-74.25848	
-25.16974,-45.06181	
-3.49368,-63.41441	
-5.00024,-75.94299	
-5.01601,-75.80434	
-24.10389,-136.82953	
-4.24726,-74.59319	
-12.79234,-57.06435	
-17.85615,-67.69324	
-0.01918,-72.46635	
-0.02735,-72.35993	
-0.09269,-72.24753	
-0.22035,-72.85663	
-0.28763,-72.08294	
-17.25827,27.65541	
-18.92609,24.65592	
-19.21297,-50.90872	
-23.12463,-45.75643	
-5.52003,-75.55961	
6.40541,-74.16557	
-4.18301,-74.69855	
-4.26647,-74.37013	
-5.49458,-75.01260	
2.00663,-70.27708	
-12.77701,158.35603	
-13.06868,158.19682	
-4.22704,-74.46010	
-4.25498,-74.94594	
-4.36285,-74.22854	
-4.37745,-74.03760	
-4.42246,-73.97404	
-6.13732,-74.55128	
1.64491,-73.54357	
-21.88305,-52.43097	
-26.88072,-137.98094	
-12.82317,-57.08712	
-19.00665,-51.13205	
-25.08299,-45.50747	
-25.11917,-45.34055	
4.14233,-71.87608	
6.65493,-84.98077	
-23.64716,-45.38179	
-4.86922,-78.74240	
-11.95555,-72.39649	
-14.35476,-51.68549	
-14.35603,-51.67694	
-16.52622,-177.48384	
-5.38100,-75.15598	
-5.63236,-75.00321	
5.07606,-73.05081	
